Job Title,Salary,Requirements,Company,Location,Industry,Company Size,Education,Job Type,Posted Date,Job Link
MASON (GENERAL),₱675.00,Qualifications/requirements not specified,RYDER & SPARKS PRIME CORPORATION,"CITY OF CALAMBA, LAGUNA","ACTIVITIES OF PRIVATE HOUSEHOLDS AS EMPLOYERS AND UNDIFFENTIATED PRODUCTION ACTIVITIES OF PRIVATE; OTHER COMMUNITY, SOCIAL AND PERSONAL SERVICE ACTIVITIES",200 and over (Large),Educ level not specified,Project-based,3 July 2024,https://philjobnet.gov.ph/job-vacancies/job/mason-general-1056458
PLUMBER,₱675.00,Qualifications/requirements not specified,RYDER & SPARKS PRIME CORPORATION,"CITY OF CALAMBA, LAGUNA","ACTIVITIES OF PRIVATE HOUSEHOLDS AS EMPLOYERS AND UNDIFFENTIATED PRODUCTION ACTIVITIES OF PRIVATE; OTHER COMMUNITY, SOCIAL AND PERSONAL SERVICE ACTIVITIES",200 and over (Large),HIGH SCHOOL GRADUATE,Project-based,3 July 2024,https://philjobnet.gov.ph/job-vacancies/job/plumber-1056457
BUILDING ELECTRICIAN,₱675.00,Qualifications/requirements not specified,RYDER & SPARKS PRIME CORPORATION,"CITY OF CALAMBA, LAGUNA","ACTIVITIES OF PRIVATE HOUSEHOLDS AS EMPLOYERS AND UNDIFFENTIATED PRODUCTION ACTIVITIES OF PRIVATE; OTHER COMMUNITY, SOCIAL AND PERSONAL SERVICE ACTIVITIES",200 and over (Large),VOCATIONAL GRADUATE,Project-based,3 July 2024,https://philjobnet.gov.ph/job-vacancies/job/building-electrician-1056455
DEBT COLLECTOR,Salary not specified,"- At least High School Graduate- With means of mobility (ex. motorcycle, bike/e-bike, car, etc.)- Government numbers (SSS, Philhealth, Pag-ibig)- Good communication and convincing skills- No experience required, - With means of mobility (ex. motorcycle, bike/e-bike, car, etc.), - Government numbers (SSS, Philhealth, Pag-ibig), - Good communication and convincing skills, - No experience required, ","HC CONSUMER FINANCE PHILS., INC.","CITY OF BAYAWAN (TULONG), NEGROS ORIENTAL",FINANCIAL INTERMEDIATION,200 and over (Large),HIGH SCHOOL GRADUATE,Permanent,3 July 2024,https://philjobnet.gov.ph/job-vacancies/job/debt-collector-1056452
JANITOR,₱539.00,Qualifications/requirements not specified,RYDER & SPARKS PRIME CORPORATION,"CITY OF CALAMBA, LAGUNA","ACTIVITIES OF PRIVATE HOUSEHOLDS AS EMPLOYERS AND UNDIFFENTIATED PRODUCTION ACTIVITIES OF PRIVATE; OTHER COMMUNITY, SOCIAL AND PERSONAL SERVICE ACTIVITIES",200 and over (Large),HIGH SCHOOL GRADUATE,Project-based,3 July 2024,https://philjobnet.gov.ph/job-vacancies/job/janitor-1056451
MECHANICAL ENGINEER (GENERAL),"₱25,000.00","- 1-3 years of working experience highly preferred but not required- New graduate of Mechanical or Civil Engineering, acceptable- With license is an advantage but not required- Willing to be assigned at Malate or Pasay City project sites- Can start ASAP, , ",BUENATECH INCORPORATED,"CITY OF MANILA, NCR, FIRST DISTRICT",WHOLESALE AND RETAIL TRADE,10 - 99 (Small),COLLEGE GRADUATE,Permanent,3 July 2024,https://philjobnet.gov.ph/job-vacancies/job/mechanical-engineer-general-1056447
GARDENER,Salary not specified,"At least High School GraduatePreferably MaleMinimum of 6 months work experience in a related fieldAbility to work in all weather conditionsAbility to work independentlyWilling to work on weekends, holidays and shifting schedulesCan start ASAP and willing to work in Silang, Cavite, Preferably Male, Minimum of 6 months work experience in a related field, Ability to work in all weather conditions, Ability to work independently, Willing to work on weekends, holidays and shifting schedules, Can start ASAP and willing to work in Silang, Cavite, ","RIVIERA GOLF CLUB, INC.","SILANG, CAVITE","REAL ESTATE, RENTING AND BUSINESS ACTIVITIES",200 and over (Large),HIGH SCHOOL GRADUATE,Permanent,3 July 2024,https://philjobnet.gov.ph/job-vacancies/job/gardener-1056440
ACCOUNTING ASSISTANT,Salary not specified,"Graduate of Bachelor’s Degree in Accountancy or Accounting TechnologyExperience in a related field is an advantageWith excellent oral and written communication skillsWith analytical thinkingFresh graduates are welcome to applyProficient in MS Office applications;Good written, verbal and interpersonal communication skills;Can work under pressure and handle multiple audit assignments;Must be objective, analytical, systematic and hardworking;Willing to work in Silang, Cavite., Experience in a related field is an advantage, With excellent oral and written communication skills, With analytical thinking, Fresh graduates are welcome to apply, Proficient in MS Office applications;, Good written, verbal and interpersonal communication skills;, Can work under pressure and handle multiple audit assignments;, Must be objective, analytical, systematic and hardworking;, Willing to work in Silang, Cavite., ","RIVIERA GOLF CLUB, INC.","SILANG, CAVITE","REAL ESTATE, RENTING AND BUSINESS ACTIVITIES",200 and over (Large),COLLEGE GRADUATE,Permanent,3 July 2024,https://philjobnet.gov.ph/job-vacancies/job/accounting-assistant-1056439
ACCOUNTANT (GENERAL),Salary not specified,Graduate of BS AccountancyMust be a Certified Public Accountant (CPA)Open to recent board passers without relevant experience,LSERV CORPORATION,"PASAY CITY, NCR, FOURTH DISTRICT","OTHER COMMUNITY, SOCIAL AND PERSONAL SERVICE ACTIVITIES",200 and over (Large),COLLEGE GRADUATE,Job type not specified,3 July 2024,https://philjobnet.gov.ph/job-vacancies/job/accountant-general-1056438
SALES ASSOCIATE PROFESSIONAL,"₱14,000.00",At least high school graduatesWith relevant experience in salesGood communication and interpersonal skillsWilling to be assigned in malls,LSERV CORPORATION,"CITY OF MAKATI, NCR, FOURTH DISTRICT","OTHER COMMUNITY, SOCIAL AND PERSONAL SERVICE ACTIVITIES",200 and over (Large),4TH YEAR HIGH SCHOOL/GRADE X (FOR K TO 12),Contractual,3 July 2024,https://philjobnet.gov.ph/job-vacancies/job/sales-associate-professional-1056436
