Title,Release,Cast,Genre,Theme,Languages in Movie,Studio,Country Produced
Citizen Kane,1941,"Orson Welles, Joseph Cotten, Dorothy Comingore, Ray Collins, George Coulouris, Agnes Moorehead, Paul Stewart, Ruth Warrick, Erskine Sanford, William Alland, Everett Sloane, Fortunio Bonanova, Gus Schilling, Philip Van Zandt, Georgia Backus, Harry Shannon, Sonny Bupp, Buddy Swan, Gregg Toland, Don Ackerman, Nat King Cole, Gino Corrado, Maurice Costello, Demetrius Alexis, Gene Coogan, Art Dupuis, Rudy Germane, Mike Lally, Walter Lawrence, John Northpole, Victor Romito, Bob Terry, William Alston, Jack Gargan, Bert Moorhouse, Carmen Laroux, Sam Ash, Buddy Messinger, Terrance Ray, Sally Corner, Walter Bacon, Herbert Corthell, Harry A. Bailey, Danny Borzage, J.J. Clark, Tom Coleman, Carl Deloro, Jack Egan, Robert Haines, Ludwig Lowry, John McCormack, Hercules Mendez, Paddy O'Flynn, Sam Rice, Don Roberts, Larry Wheat, Larry Williams, Joan Blair, Morgan Brown, Harry Burkhardt, Edmund Cobb, Eddie Coke, Louis Natheaux, Arthur O'Connell, Guy Repp, Tom Steele, Richard Wilson, Louise Currie, Walter Sande, Jan Wiley, Milton Kibbee, Buck Mack, Alan Ladd, Thomas A. Curran, Jack Curtis, George Noisom, Gerald Pierce, Dona Dax, George DeNormand, Bud Geary, Bert LeBaron, Clyde McAtee, Cyril Ring, Roland Winters, Lew Harvey, Herman J. Mankiewicz, Eddie Dew, Perc Launders, John Dilson, Walter James, Robert Dudley, Suzanne Dulier, Al Eben, Johnny Eckert, Carl Ekberg, Edith Evanson, Carl Faulkner, Juanita Fields, Edna Mae Jones, Leda Nicova, Jolane Reynolds, Suzanne Ridgway, Olin Francis, Louise Franklin, Renee Godfrey, Peter Gowland, Jimmy Grant, Jesse Graves, Ernest Grooney, Jack Gwynne, Teddy Mangean, Henry Hebert, Bryan 'Slim' Hightower, Mitchell Ingraham, Philip Morris, Francis Sayles, George W. Jimenez, Ellen Lowe, James T. Mack, Mickey Martin, Bruce Sidney, Major McBride, Frank McLure, Charles Meakin, Edward Peil Jr., Irving Mitchell, Frances E. Neal, Lillian Nicholson, Joseph North, William H. O'Brien, Field Norton, Dick Scott, Frank O'Connor, Russ Powell, Bert Stevens, Thomas Pogue, Lillian O'Malley, Jack Raymond, Gohr Van Vleck, Myrtle Rishell, Benny Rubin, Shimen Ruskin, George Sherwood, Edward Ryan, Landers Stevens, Harry J. Vejar, Tudor Williams, Arthur Yeoman, Tim Davis, Charles Bennett, Arthur Kay, John Alban, Finn Zirzow, Sam Harris, Dorothy Cleveland","Drama, Mystery","Humanity And The World Around Us, Politics And Human Rights, Death Symbolism Philosophical Thought Provoking Surreal",English,"Mercury Productions, Rko Radio Pictures",Usa
The Godfather,1972,"Marlon Brando, Al Pacino, James Caan, Robert Duvall, Richard S. Castellano, Diane Keaton, Talia Shire, Gianni Russo, Sterling Hayden, John Marley, Richard Conte, Al Lettieri, Abe Vigoda, John Cazale, Rudy Bond, Al Martino, Morgana King, Lenny Montana, John Martino, Salvatore Corsitto, Richard Bright, Alex Rocco, Tony Giorgio, Vito Scotti, Tere Livrano, Victor Rendina, Jeannie Linero, Julie Gregg, Ardell Sheridan, Simonetta Stefanelli, Angelo Infanti, Corrado Gaipa, Franco Citti, Saro Urzì, Roman Coppola, Sofia Coppola, Don Costello, Italia Coppola, Gray Frederickson, Ron Gilbert, Sonny Grosso, Louis Guss, Randy Jurgensen, Tony King, Tony Lip, Joe Lo Grippo, Lou Martini Jr., Raymond Martino, Joseph Medaglia, Carol Morley, Rick Petrucelli, Sal Richards, Tom Rosqui, Frank Sivero, Filomena Spagnuolo, Joe Spinell, Gabriele Torrei, Nick Vallelonga, Conrad Yama","Crime, Drama","Crime Drugs And Gangsters, Ruthless Underworld Gritty Stylish Violence, Drugs Gritty Cops Violence Powerful, Guns Action Violence Cops Killing, Prison Jail Convicts Brutal Brutality, Murder Crime Drama Gripping Compelling","English, Latin, English, Italian","Paramount 1, Alfran Productions",Usa
12 Angry Men,1957,"Martin Balsam, John Fiedler, Lee J. Cobb, E.G. Marshall, Jack Klugman, Edward Binns, Jack Warden, Henry Fonda, Joseph Sweeney, Ed Begley, George Voskovec, Robert Webber, Rudy Bond, Tom Gorman, James Kelly, Billy Nelson, John Savoca, Walter Stocker",Drama,"Humanity And The World Around Us, Murder Crime Drama Gripping Compelling, Thriller Cops Suspense Killer Twist, Terrorism Thriller Gripping Intense Political",English,"United Artists, Orion Nova Productions",Usa
Casablanca,1942,"Humphrey Bogart, Ingrid Bergman, Paul Henreid, Claude Rains, Conrad Veidt, Sydney Greenstreet, Peter Lorre, S.Z. Sakall, Madeleine Lebeau, Dooley Wilson, Joy Page, John Qualen, Leonid Kinskey, Curt Bois, Enrique Acosta, Ed Agresti, Louis V. Arco, Frank Arnold, Leon Belasco, Nino Bellini, Oliver Blake, Monte Blue, Eugene Borden, Dick Botiller, Maurice Brierre, Sebastian Cabot, Anita Camargo, George M. Carleton, Spencer Chan, Melie Chang, Tex Cooper, Gino Corrado, Franco Corsaro, Adrienne D'Ambricourt, Marcel Dalio, Helmut Dantine, Jean De Briac, George Dee, Jean Del Val, Carl Deloro, Joseph DeVillard, Arthur Dulac, William Edmunds, Herbert Evans, Fred Farrell, Adolph Faylauer, O.K. Ford, Martín Garralaga, Gregory Gaye, Gregory Golubeff, Ilka Grüning, Creighton Hale, Winifred Harris, Jamiel Hasson, Arthur Stuart Hull, Olaf Hytten, Charles La Torre, George J. Lewis, Manuel Lopez, Jacques Lory, Lou Marcelle, Tony Martelli, George Meeker, Lal Chand Mehra, Hercules Mendez, Louis Mercier, Torben Meyer, Alberto Morin, Leo Mostovoy, Corinna Mura, Barry Norton, Lotte Palfi Andor, Paul Panzer, Manuel París, Alexander Pollard, Frank Puglia, Georges Renavent, Dewey Robinson, Richard Ryen, Dan Seymour, Lester Sharpe, Dina Smirnova, Gerald Oliver Smith, George Sorel, Geoffrey Steele, Ludwig Stössel, Mike Tellegen, Rafael Trujillo, Jacques Vanaire, Ellinor Vanderveer, Norma Varden, Hans Heinrich von Twardowski, Jack Wise, Wolfgang Zilzer, Trude Berliner, Paul Porcasi, Max Linder, Frank Mazzola, Henry Rowland, Leo White, Paul Irving, Brandon Beach, Victor Romito, Michael Mark, Bhogwan Singh, Finn Zirzow","Drama, Romance","War And Historical Adventure, Moving Relationship Stories, Politics And Human Rights, Romance Captivating Loves Lover Beauty, Nazi Hitler Jewish Historical Holocaust, Powerful Complexity Intellectual Poetic Emotional, Marriage Romance Affair Passionate Passion, Historical Propaganda Political Patriotism Historic","English, German, French, Italian, English",Warner Bros Pictures 1,Usa
The Passion of Joan of Arc,1928,"Maria Falconetti, Eugène Silvain, André Berley, Maurice Schutz, Antonin Artaud, Michel Simon, Jean d'Yd, Louis Ravet, Armand Lurville, Jacques Arnna, Alexandre Mihalesco, Léon Larive, Jean Aymé, Gilbert Dacheux, Gilbert Dalleu, Paul Delauzac, Dimitri Dimitriev, Fournez-Goffard, Henri Gaultier, Paul Jorge, Marie Lacroix, Henri Maillard, Raymond Narlay","History, Drama","Humanity And The World Around Us, Faith And Religion, Moving Relationship Stories, Epic History And Literature, Spiritual Faith Catholic Beliefs Church, Death Symbolism Philosophical Thought Provoking Surreal, Sad Depressing Illness Heartbreaking Touching, Powerful Complexity Intellectual Poetic Emotional, Holy Spiritual Beliefs Devil Sin",No-Spoken-Language,Societe Generale Des Films,France
City Lights,1931,"Charlie Chaplin, Virginia Cherrill, Harry Myers, Al Ernest Garcia, Hank Mann, Albert Austin, Eddie Baker, Henry Bergman, Buster Brodie, Jeanne Carpenter, Tom Dempsey, James Donnelly, Ray Erlenborn, Robert Graves, Charles Hammond, Joseph Herrick, Austen Jewell, Willie Keeler, Robert Parrish, John Rand, W.C. Robinson, Cy Slocum, Tony Stabenau, Mark Strong, Tiny Ward, Stanhope Wheatcroft, Florence Wix, Granville Redmond, Florence Lee, Wyn Ritchie Evans, Joe Van Meter","Drama, Comedy, Romance","Relationship Comedy, Humanity And The World Around Us, Crude Humor And Satire, Moving Relationship Stories, Touching Cry Family Sad Tear Jerker, Quirky Humor Relationships Endearing Humorous, Romance Captivating Loves Lover Beauty, Chemistry Hilarious Romantic Comedy Sweet Or Humorous, Gag Chuckles Slapstick Amusing Jokes",No-Spoken-Language,"Charles Chaplin Productions, United Artists",Usa
Vertigo,1958,"James Stewart, Kim Novak, Barbara Bel Geddes, Tom Helmore, Henry Jones, Raymond Bailey, Ellen Corby, Konstantin Shayne, Lee Patrick, Bess Flowers, Alfred Hitchcock, David Ahdar, Sara Taft, Ezelle Poule, John Benson, Paul Bryar, Steve Conte, Fred Graham, Forbes Murray, Raoul Freeman","Romance, Thriller, Mystery","Humanity And The World Around Us, Thrillers And Murder Mysteries, Intense Violence And Sexual Transgression, Thriller Suspense Twist Psychological Intriguing, Thriller Cops Suspense Killer Twist, Death Symbolism Philosophical Thought Provoking Surreal, Murderer Clues Suspects Suspense Intriguing, Romance Captivating Loves Lover Beauty",English,"Paramount 1, Alfred J Hitchcock Productions",Usa
Seven Samurai,1954,"Toshirō Mifune, Takashi Shimura, Yoshio Inaba, Seiji Miyaguchi, Minoru Chiaki, Daisuke Katō, Isao Kimura, Keiko Tsushima, Yukiko Shimazaki, Kamatari Fujiwara, Yoshio Kosugi, Bokuzen Hidari, Yoshio Tsuchiya, Kokuten Kōdō, Eijirō Tōno, Jun Tatara, Atsushi Watanabe, Toranosuke Ogawa, Isao Yamagata, Kichijirō Ueda, Sôjin Kamiyama, Gen Shimizu, Keiji Sakakida, Shinpei Takagi, Shin Ōtomo, Toshio Takahara, Hiroshi Sugi, Hiroshi Hayashi, Sachio Sakai, Sôkichi Maki, Ichirō Chiba, Noriko Sengoku, Noriko Honma, Masanobu Ôkubo, Etsuo Saijo, Minoru Itō, Haruya Sakamoto, Gorô Sakurai, Hideo Shibuya, Kiyoshi Kamoda, Senkichi Ōmura, Takashi Narita, Shōichi Hirose, Kôji Uno, Masaaki Tachibana, Kamayuki Tsubono, Taiji Naka, Chindanji Miyagawa, Shigemi Sunagawa, Akira Tani, Akio Kusama, Ryûtarô Amami, Jun Mikami, Haruo Nakajima, Sanpei Mine, Masahide Matsushita, Kaneo Ikeda, Takuzô Kumagaya, Ippei Kawagoe, Jirô Suzukawa, Junpei Natsuki, Kyôichi Kamiyama, Haruo Suzuki, Gorô Amano, Akira Kitchôji, Kōji Iwamoto, Hiroshi Akitsu, Akira Yamada, Kazuo Imai, Eisuke Nakanishi, Toku Ihara, Hideo Ôtsuka, Shû Ôe, Yasuhisa Tsutsumi, Yasumasa Ônishi, Tsuneo Katagiri, Megeru Shimoda, Masayoshi Kawabe, Shigeo Katô, Yoshikazu Kawamata, Takeshi Seki, Haruko Toyama, Tsuruko Mano, Matsue Ono, Tsurue Ichimanji, Masako Ôshiro, Kyōko Ozawa, Michiko Kadono, Toshiko Nakano, Shizuko Azuma, Michiko Kawabe, Yûko Togawa, Yayoko Kitano, Kyoko Mori, Misao Suyama, Toriko Takahara, Takeshi Katō, Tatsuya Nakadai, Ken Utsui, Ren Yamamoto","Drama, Action","Epic Heroes, Humanity And The World Around Us, Epic History And Literature, Fought Army Fighting Heroic Battle, Anime Graphics Storytelling Emotion Breathtaking, Swords Battle Fantasy Epic Magic, Fought Army Battlefield Conflict Battle, Villain Superhero Action Packed Cool Exciting",Japanese,Toho,Japan
Sunrise: A Song of Two Humans,1927,"George O’Brien, Janet Gaynor, Margaret Livingston, Bodil Rosing, J. Farrell MacDonald, Ralph Sipperly, Jane Winton, Arthur Housman, Eddie Boland, Herman Bing, Sidney Bracey, Gino Corrado, Vondell Darr, Sally Eilers, Gibson Gowland, Thomas Jefferson, Bob Kortman, F. W. Murnau, Barry Norton, Robert Parrish, Sally Phipps, Harry Semels, Phillips Smalley, Leo White, Clarence Wilson","Drama, Romance","Humanity And The World Around Us, Moving Relationship Stories, Romance Captivating Loves Lover Beauty, Marriage Romance Affair Passionate Passion, Touching Cry Family Sad Tear Jerker, Sad Depressing Illness Heartbreaking Touching, Powerful Complexity Intellectual Poetic Emotional",No-Spoken-Language,Fox Film Corporation,Usa
The Godfather: Part II,1974,"Al Pacino, Robert Duvall, Diane Keaton, Robert De Niro, John Cazale, Talia Shire, Lee Strasberg, Michael V. Gazzo, G. D. Spradlin, Richard Bright, Gastone Moschin, Tom Rosqui, Bruno Kirby, Frank Sivero, Francesca De Sapio, Morgana King, Marianna Hill, Leopoldo Trieste, Dominic Chianese, Amerigo Tot, Troy Donahue, John Aprea, Joe Spinell, Abe Vigoda, Tere Livrano, Gianni Russo, Maria Carta, Oreste Baldini, Giuseppe Sillato, Mario Cotone, James Gounaris, Fay Spain, Harry Dean Stanton, David Baker, Carmine Caridi, Danny Aiello, Carmine Foresta, Nick Discenza, Joseph Medaglia, William Bowers, Joseph Della Sorte, Carmen Argenziano, Joe Lo Grippo, Ezio Flagello, Livio Giorgi, Kathleen Beller, Saveria Mazzola, Tito Alba, Johnny Naranjo, Elda Maida, Salvatore Po, Ignazio Pappalardo, Andrea Maugeri, Peter LaCorte, Vincent Coppola, Peter Donat, Tom Dahlgren, Paul B. Brown, Phil Feldman, Roger Corman, Ivonne Coll, Joe De Nicola, Edward Van Sickle, Gabriella Belloni, Richard Watson, Venancia Grangerard, Erica Yohn, Teresa Tirelli, James Caan, Italia Coppola, Roman Coppola, Sofia Coppola, Victor Pujols Faneyte, Julie Gregg, Larry Guardino, Buck Houghton, Sho Kosugi, Gary Kurtz, Richard Matheson, John Megna, Jay Rasumny, Filomena Spagnuolo, Julian Voloshin","Crime, Drama","Crime Drugs And Gangsters, Humanity And The World Around Us, Ruthless Underworld Gritty Stylish Violence, Murder Crime Drama Gripping Compelling, Drugs Gritty Cops Violence Powerful, Marriage Drama Family Dramas Melodrama, Terrorism Thriller Gripping Intense Political","English, English, Italian, Latin, Spanish","Paramount 1, The Coppola Company, American Zoetrope",Usa
